question,info,answer,paragraph
Nguyên nhân của việc thất bại trong việc thiết lập quan hệ ngoại giao giữa các quốc gia phương Đông và phương Tây là gì?,"[""Cụ thể là quốc gia nào ở phương Đông (Đại Hán) và phương Tây (La Mã)"", ""Thời điểm cụ thể của sự kiện (năm 97)"", ""Vai trò cụ thể của Parthia trong việc cản trở quan hệ"", ""Ý kiến của William Watson về nguyên nhân thất bại"", ""Mối liên hệ với những chiến thắng của Ban Siêu""]",'những chiến thắng vang dội của Ban Siêu trước quân Hung Nô tại miền Đông Trung Á',"Vào năm 97, quan cai trị Tây Vực là Ban Siêu phái sứ giả Cam Anh thực hiện chuyến viếng thăm ngoại giao đến Đế quốc La Mã. Cam Anh đến bái kiến vua Parthia là Pacorus II tại Hecatompylos, sau đó rời khỏi cung đình Parthia và đến thành La Mã. Ông ta đi xa về phía tây đến tận Vịnh Ba Tư, nơi đây quan lại Parthia thuyết phục ông ta rằng một chuyến du ngoạn đầy hiểm họa trên biển quanh bán đảo Ả Rập là con đường duy nhất đến La Mã. Cam Anh không bằng lòng và trở về Đại Hán, tại đây ông dâng lên vua Hán Hòa Đế (trị vì. 88–105) một bản tường thuật chi tiết về Đế quốc La Mã dựa trên những gì người Parthia kể cho ông nghe. William Watson suy xét rằng người Parthia hẳn đã kiếm được lợi lộc thất bại trong nỗ lực thiết lập quan hệ bang giao của Đại Hán với La Mã, đặc biệt là sau những chiến thắng vang dội của Ban Siêu trước quân Hung Nô tại miền Đông Trung Á. Tuy nhiên, tư liệu của người Hán cho rằng một phái đoàn sứ thần La Mã, có lẽ chỉ gồm thâu một nhóm thương nhân La Mã, đến thăm kinh đô Lạc Dương vào năm 166, đời các vua Marcus Aurelius (trị vì. 161 – 180) và Hán Hoàn Đế (trị vì. 146 – 168). Mặc dù có thể là trùng hợp ngẫu nhiên, những nhiều đồng tiền huy chương bằng vàng của La Mã có niên đại vào khoảng triều đại của Marcus Aurelius và vị vua tiền nhiệm Antoninus Pius đã được phát hiện tại Óc Eo, Việt Nam (cùng với nhiều đồ tạo tác La Mã khác được tìm thấy ở đồng bằng sông Cửu Long), một địa điểm là một trong những địa điểm được đề xuất cho thành phố cảng ""Cattigara"" bên bờ Magnus Sinus (Vịnh Thái Lan và Biển Đông) trong cuốn Địa lý học của Ptolemaeus."
Những người có quan điểm về tình hình chính trị đã có phản ứng như thế nào?,"[""Đang nói về nhóm người cụ thể nào (người biểu tình Euromaidan hay những người ủng hộ chính phủ)"", ""Phản ứng cụ thể là gì (cho rằng không dân chủ, xuống đường biểu tình, hay bày tỏ phản đối)"", ""Thời điểm diễn ra sự kiện"", ""Vấn đề chính trị cụ thể đang đề cập (thỏa thuận với EU hay quan hệ với Nga)""]",'cho rằng động thái của chính phủ Ukraina là không dân chủ',"Phong trào Euromaidan là một làn sóng biểu tình ở Ukraina bắt đầu vào đêm 21 tháng 11 năm 2013. Việc này xảy ra khi trước đó cùng ngày chính phủ Ukraina tuyên bố hoãn việc ký kết một thỏa thuận hợp tác và thương mại tự do với Liên minh châu Âu ""nhằm đảm bảo an ninh quốc gia"" thay vào đó lựa chọn việc thiết lập quan hệ chặt chẽ hơn với Liên bang Nga . Những người biểu tình cho rằng động thái của chính phủ Ukraina là không dân chủ, ảnh hưởng đến đời sống của họ,họ cổ vũ cho quan hệ gần gũi hơn với EU. Rất đông người Ukraine đã xuống đường biểu tình để thể hiện sự ủng hộ của họ đối với phong trào Euromaidan . Trong khi đó, ở phần đông lãnh thổ của Ukraine nơi mà Người Nga chiếm đa số, một phần lớn dân số tại đây đã bày tỏ sự phản đối của họ đối với Euromaidan, thay vào đó họ ủng hộ chính phủ thân Nga của Yanukovych ."
Thời gian trải qua giai đoạn trước khi phát triển thành bệnh là bao lâu?,"[""Đang nói về bệnh gì"", ""Giai đoạn cụ thể nào đang được đề cập"", ""Các yếu tố ảnh hưởng đến thời gian phát triển bệnh"", ""Định nghĩa của 'phát triển thành bệnh'""]",'từ hai tuần đến hai mươi năm hoặc hơn',"Nhiễm HIV có 3 giai đoạn: giai đoạn nhiễm trùng cấp tính (còn gọi là nhiễm trùng tiên phát), giai đoạn tiềm ẩn và giai đoạn AIDS. Nhiễm trùng cấp tính kéo dài trong vài tuần và có thể bao gồm các triệu chứng như nổi hạch (sưng hạch bạch huyết), sốt, viêm họng, phát ban, đau cơ, khó chịu, lở loét miệng và thực quản. Giai đoạn tiềm ẩn không có triệu chứng và có thể kéo dài từ hai tuần đến hai mươi năm hoặc hơn, tùy thuộc vào từng cá nhân. Giai đoạn AIDS là giai đoạn cuối của nhiễm HIV, được xác định bởi số lượng tế bào T-CD4+ thấp (ít hơn 200 trong một mircolit), những bệnh nhiễm trùng cơ hội, ung thư và các tình trạng khác."
Thành nào thất thủ trước khi quân Minh tràn xuống chiếm cố đô?,"[""Thành Đa Bang hay thành Thanh Hóa?"", ""Thời điểm cụ thể thành Đa Bang thất thủ"", ""Mối quan hệ giữa thành Đa Bang và Thanh Hóa"", ""Tên gọi khác của thành Đa Bang""]",'năm Bính Tuất (ngày 20 tháng 1 năm 1407)',"Trước các mũi tiến công của địch, quân đội Đại Ngu có chặn đánh ở một vài nơi rồi rút về giữ phòng tuyến Nam sông Hồng. Quân Minh thừa cơ hội đã tập trung binh lực vượt sông Hồng đánh chiếm thành Đa Bang. Cuối năm Bính Tuất (ngày 20 tháng 1 năm 1407) thành Đa Bang thất thủ, tuyến phòng ngự của Đại Ngu cũng tan vỡ nhanh chóng. Từ Đa Bang ngày 22 tháng 1 năm 1407, quân nhà Minh tràn xuống chiếm cố đô Thăng Long. Quân Đại Ngu lại một lần nữa rút lui xuống miền hạ lưu sông Hồng. Và sau một vài trận phản công thất bại, Hồ Quý Ly và Hồ Hán Thương đem theo các thuộc hạ chạy ra biển rồi vào Thanh Hóa."
Cuộc tấn công xảy ra vào năm nào?,"[""Cuộc tấn công nào đang được đề cập đến"", ""Ai là người thực hiện cuộc tấn công"", ""Mục tiêu của cuộc tấn công là gì"", ""Đoạn văn đề cập đến nhiều cuộc tấn công khác nhau""]",'340 TCN',"Năm 16 tuổi, ông bắt đầu theo cha mình đi chinh chiến, học hỏi các bố trận và làm tướng. Khi Philipos lãnh đạo cuộc tấn công vào Byzantium năm 340 TCN, Alexandros được để lại như là quan chấp chính của Macedonia. Vào năm 339 TCN, Philipos lấy người vợ thứ năm, Cleopatra Eurydice xứ Macedonia. Vì mẹ của Alexandros, Olympias, là người từ Epirus (một vùng đất thuộc phần phía tây của bán đảo Hy Lạp và không phải là một phần của Macedonia), và Cleopatra là một người Macedonia chính gốc, điều này đã dẫn đến tranh cãi về quyền nối ngôi hợp pháp của Alexandros. Attalus, chú của cô dâu, được kể là nâng ly trong tiệc cưới để chúc cho lễ thành hôn sẽ sản sinh ra một người nối ngôi hợp pháp của xứ Macedonia; Alexandros hất cốc rượu vào Attalus nạt lớn:"
Những nơi nào cho phép phụ nữ có quyền pháp lí?,"[""Thời điểm cụ thể (cuối thế kỷ 19)"", ""Loại quyền pháp lí cụ thể (quyền đầu phiếu, quyền bất động sản hay quyền nuôi con)"", ""Khu vực địa lý (Hoa Kỳ hay quốc gia khác)""]",'vài tiểu bang miền Tây',"Phong trào quyền đầu phiếu của phụ nữ bắt đầu bằng Hội nghị Seneca Falls năm 1848 do Elizabeth Cady Stanton và Lucretia Mott tổ chức. Trong hội nghị này, văn kiện tuyên ngôn cảm xúc (Declaration of Sentiments) ra đời và lên tiếng đòi hỏi quyền bình đẳng dành cho phụ nữ. Nhiều nhà hoạt động trở nên tích cự quan tâm về chính trị trong suốt phong trào bãi nô. Chiến dịch vận động quyền đầu phiếu cho phụ nữ trong thời ""làn sóng nữ quyền đầu tiên"" do Mott, Stanton, và Susan B. Anthony lãnh đạo trong số nhiều người khác nữa. Phong trào tái tổ chức sau nội chiến, có thêm nhiều nhà vận động kinh nghiệm. Nhiều người trong số này làm việc tích cực để vận động cấm chất rượu cồn. Vào cuối thế kỷ 19, chỉ có vài tiểu bang miền Tây cho phép phụ nữ quyền đầu phiếu toàn phần, mặc dù phụ nữ đạt được nhiều chiến thắng về mặt pháp lý đáng kể trong các lãnh vực như bất động sản và quyền nuôi dưỡng trẻ em."
Các tập lịch của Kepler có gì đặc biệt so với những tác phẩm khác?,"[""Các tác phẩm khác của Kepler là gì"", ""Đặc điểm cụ thể nào của tập lịch cần so sánh"", ""Giai đoạn thời gian nào đang đề cập đến"", ""Đặc điểm của tập lịch cuối cùng so với các tập lịch trước""]",'tập lịch cuối cùng của ông (1624) bị đốt bỏ công khai ở Graz',"Như một sản phẩm phụ từ Bảng Rudolf và các lịch thiên văn, Kepler công bố các lịch chiêm tinh, rất phổ biến thời bấy giờ và giúp một phần trang trải chi phí cho các công trình khác của ông-đặc biệt là khi ngân khố triều đình từ chối hỗ trợ tài chính. Trong 6 tập lịch của ông những năm 1617-1624-Kepler đã dự đoán các vị trí hành tinh và thời tiết cũng như các sự kiện chính trị; thú vị là các dự đoán chính trị thường chính xác một cách cẩn trọng, có lẽ nhờ vào sự hiểu biết sắc sảo của Kepler về những mối căng thẳng chính trị và tôn giáo đương thời. Nhưng chính sự leo thang của những căng thẳng này và sự mập mờ trong những lời tiên tri đem lại rắc rối chính trị cho chính Kepler; tập lịch cuối cùng của ông (1624) bị đốt bỏ công khai ở Graz."
Quy trình sản xuất nào được mở rộng ở Mỹ trong thời kỳ phát triển công nghiệp?,"[""Cụ thể quy trình sản xuất nào đang được đề cập"", ""Thời kỳ công nghiệp chính xác là khi nào"", ""Liệu đang nói về quy trình sản xuất điện thoại hay ô tô"", ""Mở rộng theo nghĩa phổ biến hay cải tiến""]",'Trong đầu thế kỷ 20',"Hoa Kỳ trở thành nhà tiên phong trong những cải tiến kỹ thuật kể từ cuối thế kỷ 19 và nghiên cứu khoa học từ giữa thế kỷ 20. Năm 1876, Alexander Graham Bell được công nhận bằng sáng chế đầu tiên của Mỹ về điện thoại. Thomas Edison đã phát triển máy hát, bóng đèn điện sáng duy trì lâu đầu tiên, và chiếc máy chiếu phim thông dụng đầu tiên. Nikola Tesla tiên phong trong động cơ cảm ứng và bộ truyền tần số cao sử dụng ở đài thu thanh. Trong đầu thế kỷ 20, công ty chế tạo ô tô của Ransom E. Olds và Henry Ford đã nhân rộng và phổ biến dây chuyền lắp ráp xe. Anh em nhà Wright năm 1903 đã chế tạo thành công chiếc máy bay đầu tiên của thế giới."
Ấn bản cuối cùng là ấn bản thứ mấy?,"[""Định nghĩa 'cuối cùng': đã phát hành hay đang soạn thảo"", ""Cuối cùng theo thời gian hay theo thứ tự chính thức"", ""Liệu ấn bản thứ tư có được coi là ấn bản chính thức không""]",'ba',"Dự thảo ấn bản thứ tư tài liệu Giới hạn của biển và đại dương đã lưu hành tới các nước thành viên của IHO trong tháng 8 năm 2002 (đôi khi ấn bản này được gọi là ""ấn bản 2000""). Tuy nhiên tài liệu này chưa được công bố do mối quan ngại của một số nước liên quan tới các vấn đề tên gọi của các khu vực trên thế giới, chủ yếu là tranh cãi về tên gọi biển Nhật Bản, và ngoài ra còn có những thay đổi khác, 60 biến được đặt tên mới và ngay cả tên của tài liệu cũng đã thay đổi. Australia thể hiện sự dè dặt với giới hạn của Nam Đại Dương. Về mặt chính thức thì ấn bản thứ ba vẫn chưa được thay thế."
Tại sao lại rút khỏi cuộc khủng hoảng tên lửa?,"[""Ai là người rút (Liên Xô hay Hoa Kỳ)"", ""Thời điểm cụ thể (năm 1962)"", ""Địa điểm (tại Cuba)"", ""Rút cái gì (tên lửa hay lực lượng quân sự)""]",'đặt các tên lửa đạn đạo tầm trung (MRBMs) Xô viết tại Cuba',"Một trong những kết quả chiến lược của liên minh Cuba-Xô viết là quyết định đặt các tên lửa đạn đạo tầm trung (MRBMs) Xô viết tại Cuba, gây ra cuộc Khủng hoảng tên lửa Cuba năm 1962, trong đó chính quyền John F. Kennedy đã đe dọa sử dụng vũ khí hạt nhân với Liên bang Xô viết trừ khi họ rút số tên lửa đó. Ý tưởng đặt tên lửa tại Cuba được đưa ra bởi Castro hoặc Khrushchev, nhưng được Liên bang Xô viết đồng ý với lý do rằng Hoa Kỳ có tên lửa đặt tại Thổ Nhĩ Kỳ ở Trung Đông, vì thế đe dọa trực tiếp tới an ninh Liên Xô. Chỉ vài phút trước khi chiếc tàu chở tên lửa Liên Xô chạm tới vành đai phong tỏa của Hoa Kỳ, người Xô viết đã quyết định lùi bước, và ký một thỏa thuận với Kennedy. Tất cả các tên lửa đều được rút khỏi Cuba, nhưng cùng lúc ấy Hoa Kỳ phải rút tên lửa của mình ra khỏi Thổ Nhĩ Kỳ và những nơi khác tại Trung Đông. Tuy nhiên, Kennedy không chịu mất mặt bằng cách thực hiện thỏa thuận ấy ngay lập tức, mà chỉ chịu đồng ý sẽ rút tên lửa sau vài tháng."
