question,paragraph,answer,info
Ngành học này đào tạo những kỹ năng gì cho sinh viên?,"Giới thiệu\n\nNgành Công nghệ Kỹ thuật Vật liệu Xây dựng thuộc nhóm ngành Xây dựng với chương trình đào tạo các Cử nhân Kỹ thuật có năng lực chuyên môn cơ bản về xây dựng và chuyên sâu về ngành Công nghệ Kỹ thuật Vật liệu Xây dựng, có phẩm chất chính trị, đạo đức và sức khỏe tốt, đáp ứng nhu cầu lao động có trình độ kỹ thuật cao của đất nước. Sau khi tốt nghiệp, người học sẽ:\n- Có kiến thức cơ bản về toán học, khoa học tự nhiên, đáp ứng cho việc tiếp thu các kiến thức giáo dục chuyên nghiệp và khả năng học tập ở trình độ cao hơn;\n- Có các kiến thức kỹ thuật cơ sở ngành và chuyên ngành giúp đủ năng lực phát hiện, giải quyết các vấn đề liên quan đến công nghệ sản xuất, chế tạo và ứng dụng vật liệu vào trong xây dựng, kiểm soát chất lượng nguyên vật liệu và cấu kiện sản phẩm xây dựng, nghiên cứu sản xuất chế tạo và phát triển các loại vật liệu mới, hiện đại, tiên tiến, độc đáo, hiệu quả, xanh, bền vững....",,"[""Tên đầy đủ của ngành học"", ""Các môn học cụ thể trong chương trình"", ""Cơ hội việc làm sau khi tốt nghiệp"", ""Thời gian đào tạo của ngành"", ""Điểm chuẩn đầu vào của ngành""]"
Ngành học này có hỗ trợ gì cho sinh viên sau khi tốt nghiệp?,"Giới thiệu\n\nNgành Công nghệ Kỹ thuật Vật liệu Xây dựng thuộc nhóm ngành Xây dựng với chương trình đào tạo các Cử nhân Kỹ thuật có năng lực chuyên môn cơ bản về xây dựng và chuyên sâu về ngành Công nghệ Kỹ thuật Vật liệu Xây dựng, có phẩm chất chính trị, đạo đức và sức khỏe tốt, đáp ứng nhu cầu lao động có trình độ kỹ thuật cao của đất nước. Sau khi tốt nghiệp, người học sẽ:\n- Có kiến thức cơ bản về toán học, khoa học tự nhiên, đáp ứng cho việc tiếp thu các kiến thức giáo dục chuyên nghiệp và khả năng học tập ở trình độ cao hơn;\n- Có các kiến thức kỹ thuật cơ sở ngành và chuyên ngành giúp đủ năng lực phát hiện, giải quyết các vấn đề liên quan đến công nghệ sản xuất, chế tạo và ứng dụng vật liệu vào trong xây dựng, kiểm soát chất lượng nguyên vật liệu và cấu kiện sản phẩm xây dựng, nghiên cứu sản xuất chế tạo và phát triển các loại vật liệu mới, hiện đại, tiên tiến, độc đáo, hiệu quả, xanh, bền vững....",,"[""Thông tin về cơ hội việc làm cụ thể"", ""Chương trình hỗ trợ việc làm sau tốt nghiệp của trường"", ""Mối quan hệ hợp tác giữa trường và doanh nghiệp"", ""Tỷ lệ sinh viên có việc làm sau khi tốt nghiệp""]"
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
"This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper.","This data originates from an institution-specific source and may reveal identifiable affiliations. To preserve anonymity during the review process, the dataset will only be released upon official acceptance of the paper."
